ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
SVRA,Savara Inc,NASDAQ,1117038469.05,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001160308,,,60,sec_fallback,203467845.0,5.49,,,US,USD
AVBP,"ArriVent BioPharma, Inc.",NASDAQ,1116090955.5,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001868279,,,60,sec_fallback,44201622.0,25.25,,,US,USD
ABCL,AbCellera Biologics Inc.,NASDAQ,1088346148.33,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001703057,,,60,sec_fallback,303160487.0,3.59,,,US,USD
XERS,"Xeris Biopharma Holdings, Inc.",NASDAQ,1041484991.6,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001867096,,,60,sec_fallback,172431290.0,6.04,,,US,USD
INBX,"Inhibrx Biosciences, Inc.",NASDAQ,1027660527.0799999,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0002007919,,,60,sec_fallback,14543738.0,70.66,,,US,USD
BCAX,Bicara Therapeutics Inc.,NASDAQ,1013466075.0,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0002023658,,,60,sec_fallback,54781950.0,18.5,,,US,USD
VTYX,"Ventyx Biosciences, Inc.",NASDAQ,999020932.0,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001851194,,,60,sec_fallback,71358638.0,14.0,,,US,USD
CMPX,"Compass Therapeutics, Inc.",NASDAQ,995886169.95,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001738021,,,60,sec_fallback,180087915.0,5.53,,,US,USD
CRON,Cronos Group Inc.,NASDAQ,974161332.14,small,,Medicinal Chemicals & Botanical Products,2833,Medicinal Chemicals & Botanical Products,0001656472,,,60,sec_fallback,379051102.0,2.57,,,US,USD
BLFS,BIOLIFE SOLUTIONS INC,NASDAQ,971796000.0,small,,Electromedical & Electrotherapeutic Apparatus,3845,Electromedical & Electrotherapeutic Apparatus,0000834365,,,60,sec_fallback,48300000.0,20.12,,,US,USD
URGN,UroGen Pharma Ltd.,NASDAQ,954659510.8,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001668243,,,60,sec_fallback,48682280.0,19.61,,,US,USD
SSII,"SS Innovations International, Inc.",NASDAQ,954552264.5699999,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001676163,,,60,sec_fallback,193621149.0,4.93,,,US,USD
MLTX,MoonLake Immunotherapeutics,NASDAQ,949674020.22,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001821586,,,60,sec_fallback,52701111.0,18.02,,,US,USD
GHRS,GH Research PLC,NASDAQ,940985922.15,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001855129,,,60,sec_fallback,62029395.0,15.17,,,US,USD
AMPH,"Amphastar Pharmaceuticals, Inc.",NASDAQ,927366295.24,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001297184,,,60,sec_fallback,45370171.0,20.44,,,US,USD
PCRX,"Pacira BioSciences, Inc.",NASDAQ,925598976.84,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001396814,,,60,sec_fallback,40489894.0,22.86,,,US,USD
NNNN,Anbio Biotechnology,NASDAQ,921948203.6,small,,In Vitro & In Vivo Diagnostic Substances,2835,In Vitro & In Vivo Diagnostic Substances,0001982708,,,60,sec_fallback,42291202.0,21.8,,,US,USD
CGEM,"Cullinan Therapeutics, Inc.",NASDAQ,921589640.4,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001789972,,,60,sec_fallback,59076259.0,15.6,,,US,USD
SANA,"Sana Biotechnology, Inc.",NASDAQ,910016118.77,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001770121,,,60,sec_fallback,266866897.0,3.41,,,US,USD
GERN,GERON CORP,NASDAQ,909573418.62,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000886744,,,60,sec_fallback,640544661.0,1.42,,,US,USD
ADXN,Addex Therapeutics Ltd.,NASDAQ,904465431.4499999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001574232,,,60,sec_fallback,128292969.0,7.05,,,US,USD
ABUS,Arbutus Biopharma Corp,NASDAQ,903922879.9,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001447028,,,60,sec_fallback,192324017.0,4.7,,,US,USD
EVMN,"Evommune, Inc.",NYSE,903700953.48,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0002044725,,,60,sec_fallback,36018372.0,25.09,,,US,USD
SPRY,"ARS Pharmaceuticals, Inc.",NASDAQ,901499332.3199999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001671858,,,60,sec_fallback,98848611.0,9.12,,,US,USD
OPK,"OPKO HEALTH, INC.",NASDAQ,888108689.52,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000944809,,,60,sec_fallback,759067256.0,1.17,,,US,USD
ARVN,"ARVINAS, INC.",NASDAQ,877544878.84,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001655759,,,60,sec_fallback,63960997.0,13.72,,,US,USD
MNKD,MANNKIND CORP,NASDAQ,871924225.39,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000899460,,,60,sec_fallback,308100433.0,2.83,,,US,USD
INMD,InMode Ltd.,NASDAQ,852175187.5,small,,Electromedical & Electrotherapeutic Apparatus,3845,Electromedical & Electrotherapeutic Apparatus,0001742692,,,60,sec_fallback,63358750.0,13.45,,,US,USD
